,name,link,min_salary,max_salary,currency,employer,site_name
307,Переводчик с русского языка на английский,https://hh.ru/vacancy/46632132?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,Яндекс,hh.ru
308,Переводчик с русского языка на английский,https://hh.ru/vacancy/46632158?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,Яндекс,hh.ru
309,Translator from Mandarin to Russian (ZH-RU),https://hh.ru/vacancy/50759645?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,USD,Linguo Go Enterprise,hh.ru
310,Переводчик с русского языка на английский,https://hh.ru/vacancy/46632356?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,Яндекс,hh.ru
311,Переводчик с русского языка на английский,https://hh.ru/vacancy/46632144?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,Яндекс,hh.ru
312,Переводчик с русского языка на английский,https://hh.ru/vacancy/46631885?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,Яндекс,hh.ru
313,Секретарь-переводчик со знанием английского языка (ст. Игоревская),https://hh.ru/vacancy/50011888?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,Kronospan (Кроношпан),hh.ru
314,Переводчик с русского языка на английский,https://hh.ru/vacancy/46632509?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,Яндекс,hh.ru
315,Переводчик / Редактор английского языка (клинические исследования),https://hh.ru/vacancy/50718149?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,AWATERA,hh.ru
316,Переводчик с русского языка на английский,https://hh.ru/vacancy/46631875?from=vacancy_search_list&query=%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,,,,Яндекс,hh.ru
